"Lipid","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","log2FC","p_value","adj_p_value","Group","CLASS","SUBCLASS A","Individual_Notation","HMDB","KEGG","SubclassB","cat_volcano"
"MEMAPC31",0.0578476984611858,-0.186532359578856,0.302227756501228,0.0780561143415209,0.476456777853109,0.636001016471094,0.999894227787678,-4.74675940512831,0.0578476984611858,0.636001016471094,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-20:0/20:4)","HMDB13442",NA,"Glycerophospholipids","ns"
"MEMAPC32",-0.0271531315556321,-0.233590146375992,0.179283883264728,0.06630912799771,-0.264749739661599,0.79238316239249,0.999894227787678,-4.77172440538868,-0.0271531315556321,0.79238316239249,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-18:1/22:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPC33_MEMAPC34",0.0500173021553446,-0.177050938194978,0.277085542505667,-0.0464058129739067,0.443370768697323,0.65957275684434,0.999894227787678,-4.7515900459054,0.0500173021553446,0.65957275684434,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-40:5)",NA,NA,"Glycerophospholipids","ns"
"MEMAPC35",0.080486448107835,-0.179153923684418,0.340126819900088,0.036205654849245,0.623955659414868,0.535734182091214,0.999894227787678,-4.72108655184444,0.080486448107835,0.535734182091214,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-22:1/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPC36",0.0263444922171044,-0.240056380692511,0.29274536512672,-0.191128216819934,0.199047797701227,0.843101218301157,0.999894227787678,-4.77658903597649,0.0263444922171044,0.843101218301157,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-42:6)",NA,NA,"Glycerophospholipids","ns"
"MEMAPC37",0.0887164694927083,-0.157576279614235,0.335009218599651,0.0465258148400692,0.725029725410951,0.47210039165464,0.999894227787678,-4.69963695423195,0.0887164694927083,0.47210039165464,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-22:0/20:4)","HMDB13448",NA,"Glycerophospholipids","ns"
"MEMAPC38",0.135787065714127,-0.123674998568512,0.395249129996766,0.151640228855368,1.05338643841697,0.29765738487734,0.999894227787678,-4.60895846442304,0.135787065714127,0.29765738487734,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-24:1/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE01",-0.0645766686884176,-0.351473924549929,0.222320587173093,-1.04154760218843,-0.453056568586396,0.652634604520115,0.999894227787678,-4.75021132372661,-0.0645766686884176,0.652634604520115,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(O-16:0/18:1)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE02",-0.00701691266784224,-0.327555672885628,0.313521847549943,-0.441324474636713,-0.0440624566259272,0.965045046004815,0.999894227787678,-4.78261156089311,-0.00701691266784224,0.965045046004815,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-16:0/18:2)","HMDB11343",NA,"Glycerophospholipids","ns"
"MEMAPE05",-0.0748642133263776,-0.359397732498042,0.209669305845287,-0.811364801500366,-0.529595173315634,0.598935580840651,0.999894227787678,-4.7382867648054,-0.0748642133263776,0.598935580840651,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-18:0/18:1)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE06",0.0162780113320062,-0.353418251210558,0.38597427387457,-0.335294034971724,0.0886256584254277,0.929763552920173,0.999894227787678,-4.78166587793292,0.0162780113320062,0.929763552920173,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-16:0/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE08",-0.0428678431556422,-0.385498730165478,0.299763043854194,-0.476799989051895,-0.251830490160072,0.802292110632147,0.999894227787678,-4.77278935548356,-0.0428678431556422,0.802292110632147,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-18:0/20:4)","HMDB11386",NA,"Glycerophospholipids","ns"
"MEMAPE09",0.000489853907725559,-0.349690405855857,0.350670113671309,-0.283247451102825,0.00281564634286157,0.997765599054892,0.999894227787678,-4.78292084665815,0.000489853907725559,0.997765599054892,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-18:1/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE11",-0.042922007152916,-0.29835533961556,0.212511325309728,0.3255443066135,-0.338224950221772,0.73673018788205,0.999894227787678,-4.76466140092019,-0.042922007152916,0.73673018788205,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-16:0/22:6)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE13",0.199491742195935,-0.0770866890713883,0.476070173463258,-0.470374782891418,1.45181006327509,0.153330742143991,0.999894227787678,-4.45828474556721,0.199491742195935,0.153330742143991,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(P-17:0/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE14",0.272864931311885,-0.00182632622723755,0.547556188851008,0.204147586350559,1.99942940254539,0.0514794956387651,0.999894227787678,-4.18702022304783,0.272864931311885,0.0514794956387651,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(P-17:0/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE15",-0.0795974581568293,-0.38146997321651,0.222275056902852,-0.694341758221026,-0.530736326959065,0.59815078348454,0.999894227787678,-4.73809518791134,-0.0795974581568293,0.59815078348454,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-20:0/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE16",0.0246166563646926,-0.283107789964683,0.332341102694068,-0.344441105187371,0.161016451923252,0.872784448617746,0.999894227787678,-4.77877687696599,0.0246166563646926,0.872784448617746,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-18:0/22:5) + PE(P-20:1/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE17",-0.0786267358283766,-0.371810198254931,0.214556726598178,-0.173994714024707,-0.539801348624343,0.591933762273312,0.999894227787678,-4.73655900887345,-0.0786267358283766,0.591933762273312,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-18:0/18:2)","HMDB11376",NA,"Glycerophospholipids","ns"
"MEMAPE20",-0.0859951108062461,-0.430384136569077,0.258393914956585,-0.504362304257231,-0.502605972309489,0.617635487622072,0.999894227787678,-4.74269984337079,-0.0859951108062461,0.617635487622072,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(16:1e/20:3)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE21",0.190324857678224,-0.1837362468251,0.564385962181549,-0.118836450406637,1.02413250422001,0.3111202619688,0.999894227787678,-4.61830726481139,0.190324857678224,0.3111202619688,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(16:1e/20:5)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE29",-0.19159625822758,-0.489792907404154,0.106600390948994,0.00877023663571995,-1.29326478647054,0.202366773605699,0.999894227787678,-4.52332734754204,-0.19159625822758,0.202366773605699,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(18:1e/22:6)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE30",-0.070964321861756,-0.368560287073145,0.226631643349633,0.115729464791989,-0.479972335664169,0.633518077385968,0.999894227787678,-4.74622602926679,-0.070964321861756,0.633518077385968,0.999894227787678,"HIPE","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(18:2e/22:6)",NA,NA,"Glycerophospholipids","ns"
