"Lipid","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","log2FC","p_value","adj_p_value","Group","CLASS","SUBCLASS A","Individual_Notation","HMDB","KEGG","SubclassB","cat_volcano"
"MEMAPC21",-8.08069665939482e-05,-0.15875890014367,0.158597286210482,-0.0144046893507966,-0.00105263240073641,0.999169068769665,0.999169068769665,-5.09078711670294,-8.08069665939482e-05,0.999169068769665,0.999169068769665,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-16:0/22:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPC22",0.0496109504111165,-0.137316586616061,0.236538487438294,-0.0245534762318697,0.54859161574394,0.588496881757104,0.875645147742024,-4.99295866464599,0.0496109504111165,0.588496881757104,0.875645147742024,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-18:0/20:4)","HMDB13420",NA,"Glycerophospholipids","ns"
"MEMAPC24_MEMAPC25",-0.0426526296804132,-0.23391107082889,0.148605811468064,-0.189224486471976,-0.460967283360284,0.649089893671946,0.908191419512246,-5.02153620481703,-0.0426526296804132,0.649089893671946,0.908191419512246,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-38:5)",NA,NA,"Glycerophospholipids","ns"
"MEMAPC26",-0.120449188555447,-0.376972047778416,0.136073670667521,-0.364610568152283,-0.970560716442554,0.341720983668383,0.698994943976839,-4.79017927526589,-0.120449188555447,0.341720983668383,0.698994943976839,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(P-18:0/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPC27",-0.139901321945348,-0.396967920288365,0.117165276397669,-0.634446477219318,-1.12491852841042,0.27206239185599,0.622879686617661,-4.6906427336126,-0.139901321945348,0.27206239185599,0.622879686617661,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(P-18:0/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPC28",0.0215585524956597,-0.226841137501346,0.269958242492665,0.00454715777427694,0.179396287267755,0.859175248817208,0.981798355056889,-5.08024347236917,0.0215585524956597,0.859175248817208,0.981798355056889,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-18:2/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPC29",-0.0760291198282465,-0.295776594542006,0.143718354885513,0.187315645998756,-0.715156305932189,0.48160747854265,0.826970736181786,-4.92554541793193,-0.0760291198282465,0.48160747854265,0.826970736181786,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(P-16:0/22:6)","HMDB11229",NA,"Glycerophospholipids","ns"
"MEMAPC30",0.0639608744518805,-0.135638973639365,0.263560722543126,-0.117862868770932,0.662367612528103,0.514225260179597,0.849448056372625,-4.94874110358264,0.0639608744518805,0.514225260179597,0.849448056372625,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-18:0/22:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPC31",0.0148355898498586,-0.233637575714323,0.263308755414041,0.0360442760840687,0.123415647982819,0.902834885767659,0.992896275560747,-5.08579478100705,0.0148355898498586,0.902834885767659,0.992896275560747,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-20:0/20:4)","HMDB13442",NA,"Glycerophospholipids","ns"
"MEMAPC32",-0.0413773364471629,-0.234371176567722,0.151616503673396,0.0995031779315657,-0.443163502032309,0.661729073185942,0.908191419512246,-5.02675216772955,-0.0413773364471629,0.661729073185942,0.908191419512246,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-18:1/22:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPC33_MEMAPC34",-0.00345481285788948,-0.218374740627702,0.211465114911923,-0.0739699538691047,-0.0332271233650235,0.973776065861293,0.992896275560747,-5.09042543667204,-0.00345481285788948,0.973776065861293,0.992896275560747,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-40:5)",NA,NA,"Glycerophospholipids","ns"
"MEMAPC35",-0.0426290191949272,-0.302057771213,0.216799732823146,0.0104703335663396,-0.339650404897828,0.737158057034277,0.924991600413203,-5.05308374449151,-0.0426290191949272,0.737158057034277,0.924991600413203,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-22:1/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPC36",0.00254998311139967,-0.231247154737898,0.236347120960697,-0.209286633478247,0.0225446250355111,0.982205201101669,0.996901395547663,-5.09062080571527,0.00254998311139967,0.982205201101669,0.996901395547663,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-42:6)",NA,NA,"Glycerophospholipids","ns"
"MEMAPC37",-0.0391504261703049,-0.301560889363384,0.223260037022774,0.01401548932537,-0.308389972797512,0.760521961121437,0.939517589047145,-5.05968620617947,-0.0391504261703049,0.760521961121437,0.939517589047145,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-22:0/20:4)","HMDB13448",NA,"Glycerophospholipids","ns"
"MEMAPC38",-0.0632719838816386,-0.317218779577602,0.190674811814324,0.105422860563014,-0.515007575356211,0.611392297091582,0.886518830782794,-5.00448024867837,-0.0632719838816386,0.611392297091582,0.886518830782794,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-24:1/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE01",0.143647464994222,-0.130301144725777,0.417596074714221,-1.07844975249715,1.08386144543784,0.289499013736007,0.633079978755567,-4.71836632780655,0.143647464994222,0.289499013736007,0.633079978755567,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(O-16:0/18:1)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE02",0.0862473926863951,-0.212575507073158,0.385070292445948,-0.48312078642407,0.59659141801216,0.556524706137652,0.871084557902882,-4.97527504877534,0.0862473926863951,0.556524706137652,0.871084557902882,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-16:0/18:2)","HMDB11343",NA,"Glycerophospholipids","ns"
"MEMAPE05",0.0485087713827628,-0.197552781197013,0.294570323962539,-0.796479331010801,0.407494186898737,0.687359493937223,0.908191419512246,-5.03659747240704,0.0485087713827628,0.687359493937223,0.908191419512246,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-18:0/18:1)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE06",-0.0175658408965393,-0.346646638848894,0.311514957055816,-0.338746281927728,-0.110334493495723,0.91308760184485,0.992896275560747,-5.08679671150889,-0.0175658408965393,0.91308760184485,0.992896275560747,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-16:0/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE08",-0.0100635710639751,-0.3037930693994,0.283665927271449,-0.452315007994556,-0.0708189456569365,0.944145333091445,0.992896275560747,-5.08914301688523,-0.0100635710639751,0.944145333091445,0.992896275560747,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-18:0/20:4)","HMDB11386",NA,"Glycerophospholipids","ns"
"MEMAPE09",-0.00914525728261329,-0.312540170301049,0.294249655735823,-0.283516542979178,-0.0623063823379305,0.950849490469835,0.992896275560747,-5.08951454934067,-0.00914525728261329,0.950849490469835,0.992896275560747,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-18:1/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE11",-0.00857105943854622,-0.235501019733196,0.218358900856103,0.349252883851967,-0.078070609925735,0.93843751302008,0.992896275560747,-5.08878906078316,-0.00857105943854622,0.93843751302008,0.992896275560747,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-16:0/22:6)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE13",-0.0653692360755161,-0.309886142214933,0.1791476700639,-0.535264425397658,-0.552598141854512,0.58579386996017,0.875645147742024,-4.99153723789736,-0.0653692360755161,0.58579386996017,0.875645147742024,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(P-17:0/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE14",-0.112971340405785,-0.354702053623001,0.128759372811431,0.119810384307466,-0.966009396471373,0.34394564150652,0.698994943976839,-4.79291721021446,-0.112971340405785,0.34394564150652,0.698994943976839,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(P-17:0/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE15",-0.0809622154444275,-0.383329903788877,0.221405472900022,-0.613746541428867,-0.553467223054964,0.585208353511523,0.875645147742024,-4.99122759033561,-0.0809622154444275,0.585208353511523,0.875645147742024,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-20:0/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE16",0.0249890845004545,-0.222635996078025,0.272614165078934,-0.37565368394573,0.20859342657068,0.836575798646749,0.966133997552219,-5.07653679667833,0.0249890845004545,0.836575798646749,0.966133997552219,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-18:0/22:5) + PE(P-20:1/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE17",0.115778733990902,-0.148524320100966,0.38008178808277,-0.191470591717721,0.905464686681753,0.374474306696132,0.713414555092631,-4.82823743291969,0.115778733990902,0.374474306696132,0.713414555092631,"Control","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-18:0/18:2)","HMDB11376",NA,"Glycerophospholipids","ns"
