"Lipid","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","log2FC","p_value","adj_p_value","Group","CLASS","SUBCLASS A","Individual_Notation","HMDB","KEGG","SubclassB","cat_volcano"
"DAPE08",-0.0290628090308756,-0.429554422339638,0.371428804277887,0.342202384988006,-0.145955228304829,0.884575698344998,0.997533798420066,-4.78135739149379,-0.0290628090308756,0.884575698344998,0.997533798420066,"LIPE","Glycerophospholipids","Diacylglycerophosphoethanolamine","PE(16:0/20:4)","HMDB08937","C00350","Glycerophospholipids","ns"
"DAPE11",0.171393888814788,-0.158478147228074,0.50126592485765,1.19102118986864,1.04496287051885,0.301328867256887,0.997533798420066,-4.612145975248,0.171393888814788,0.301328867256887,0.997533798420066,"LIPE","Glycerophospholipids","Diacylglycerophosphocholine","PC(17:0/18:1)",NA,NA,"Glycerophospholipids","ns"
"DAPE12",0.0730372216805491,-0.171757135051716,0.317831578412814,0.293963420159093,0.60005888452599,0.551319053807087,0.997533798420066,-4.72712638812691,0.0730372216805491,0.551319053807087,0.997533798420066,"LIPE","Glycerophospholipids","Diacylglycerophosphocholine","PC(16:0/19:1)",NA,NA,"Glycerophospholipids","ns"
"DAPE13",0.127184433944736,-0.14066163594664,0.395030503836112,1.03226574477011,0.95499195006767,0.3444167767944,0.997533798420066,-4.64014274172086,0.127184433944736,0.3444167767944,0.997533798420066,"LIPE","Glycerophospholipids","Diacylglycerophosphocholine","PC(17:1/18:1)",NA,NA,"Glycerophospholipids","ns"
"DAPE14",0.0133652011343637,-0.184603631765029,0.211334034033757,0.371928782440662,0.135778092723115,0.892570492774634,0.997533798420066,-4.7818193180994,0.0133652011343637,0.892570492774634,0.997533798420066,"LIPE","Glycerophospholipids","Diacylglycerophosphocholine","PC(17:0/18:2)",NA,NA,"Glycerophospholipids","ns"
"DAPE15",0.0400948093696747,-0.217578691436917,0.297768310176266,0.0231454879841684,0.312946012889332,0.755691592294642,0.997533798420066,-4.76903306317986,0.0400948093696747,0.755691592294642,0.997533798420066,"LIPE","Glycerophospholipids","Diacylglycerophosphocholine","PC(17:1/18:2)",NA,NA,"Glycerophospholipids","ns"
"DAPE17",0.193427492117922,-0.0355775972488931,0.422432581484737,0.725754973339608,1.69872897517152,0.0959120126126442,0.997533798420066,-4.34233844559995,0.193427492117922,0.0959120126126442,0.997533798420066,"LIPE","Glycerophospholipids","Diacylglycerophosphocholine","PC(15:0/20:4)","HMDB07949","C00157","Glycerophospholipids","ns"
"DAPE18",0.0459870148458816,-0.335548683058575,0.427522712750338,0.2144511048088,0.24241274284738,0.809504392375451,0.997533798420066,-4.77532857857787,0.0459870148458816,0.809504392375451,0.997533798420066,"LIPE","Glycerophospholipids","Diacylglycerophosphoethanolamine","PE(18:0/20:4)","HMDB09003","C00350","Glycerophospholipids","ns"
"DAPE21",0.0119555737314312,-0.43857982864246,0.462490976105323,0.947803134434504,0.0533787930208912,0.957655466668724,0.997533798420066,-4.7843303083669,0.0119555737314312,0.957655466668724,0.997533798420066,"LIPE","Glycerophospholipids","Diacylglycerophosphoethanolamine","PE(16:0/22:6)","HMDB08946","C00350","Glycerophospholipids","ns"
"DAPE23",0.0201627273149279,-0.242476533793492,0.282801988423348,0.759263665970478,0.154397639539449,0.877950366627221,0.997533798420066,-4.78094919849142,0.0201627273149279,0.877950366627221,0.997533798420066,"LIPE","Glycerophospholipids","Diacylglycerophosphocholine","PC(37:2)",NA,NA,"Glycerophospholipids","ns"
