"Lipid","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","log2FC","p_value","adj_p_value","CLASS","SUBCLASS A","Individual_Notation","HMDB","KEGG","SubclassB","cat_volcano"
"ChoE_06",0.0933172599690241,-0.0890515076490778,0.275686027587126,0.257713750350599,1.0152184052041,0.312457523097774,0.53720686186427,-4.67199109986144,0.0933172599690241,0.312457523097774,0.53720686186427,"Sterols","Cholesteryl Ester","ChoE(18:0)","HMDB10368","C02530","Sterols","ns"
"ChoE_09",-0.0980769943706662,-0.280900566241297,0.0847465774999646,-0.81110436684499,-1.06434622989707,0.289741200742,0.525155926344875,-4.64788414050206,-0.0980769943706662,0.289741200742,0.525155926344875,"Sterols","Cholesteryl Ester","ChoE(18:3)","HMDB10370","C02530","Sterols","ns"
"ChoE_11",-0.162583091962048,-0.3781203404616,0.0529541565375046,-0.275353539422159,-1.49658370323046,0.137658624249457,0.389159908404715,-4.38906109010865,-0.162583091962048,0.137658624249457,0.389159908404715,"Sterols","Cholesteryl Ester","ChoE(20:3)","HMDB10373",NA,"Sterols","ns"
"ChoE_14",-0.0826996512360863,-0.293506333537144,0.128107031064972,-0.341628223306268,-0.778336276306144,0.438212895473788,0.638281206892525,-4.77264394160682,-0.0826996512360863,0.438212895473788,0.638281206892525,"Sterols","Cholesteryl Ester","ChoE(22:4)","HMDB06729","C02530","Sterols","ns"
"ChoE_15",0.000683683332804358,-0.162110471465336,0.163477838130945,-0.136142112867218,0.00833228570251589,0.993368513927854,0.993368513927854,-4.91727780946565,0.000683683332804358,0.993368513927854,0.993368513927854,"Sterols","Cholesteryl Ester","ChoE(22:5)","HMDB10375",NA,"Sterols","ns"
"ChoE_18",-0.0274063426789323,-0.208971331989502,0.154158646631637,-0.348692650478455,-0.299479392076069,0.765197319812487,0.871650966439073,-4.89579499739468,-0.0274063426789323,0.765197319812487,0.871650966439073,"Sterols","Cholesteryl Ester","ChoE(17:1)",NA,NA,"Sterols","ns"
"CMH_01",0.0539064013499927,-0.0788914172495194,0.186704219949505,-0.192109337291539,0.805373558208864,0.422519501162315,0.630487174797869,-4.76247028461261,0.0539064013499927,0.422519501162315,0.630487174797869,"Sphingolipids","Monohexosylceramides","CMH(d18:1/16:0)","HMDB04971","C01190","Sphingolipids","ns"
"CMH_02",0.0873735582657063,-0.0943319364296042,0.269079052961017,-0.307091176323045,0.954025383072192,0.34237667620512,0.56557159803504,-4.7004735073612,0.0873735582657063,0.34237667620512,0.56557159803504,"Sphingolipids","Monohexosylceramides","CMH(d18:1/22:0)","HMDB04974","C01190","Sphingolipids","ns"
"CMH_03",0.0708694375740832,-0.108706155631889,0.250445030780056,-0.774337020104655,0.78299618136912,0.435484102114468,0.638281206892525,-4.77091480913897,0.0708694375740832,0.435484102114468,0.638281206892525,"Sphingolipids","Monohexosylceramides","CMH(d18:1/24:0)","HMDB04978",NA,"Sphingolipids","ns"
"CMH_09",0.0938311863654077,-0.0994430288829808,0.287105401613796,0.0321651888250837,0.963210606971565,0.337770752716835,0.562432651516815,-4.69630788983927,0.0938311863654077,0.337770752716835,0.562432651516815,"Sphingolipids","Monohexosylceramides","CMH(d18:1/23:0)",NA,NA,"Sphingolipids","ns"
"DAPC03",0.0222329854011294,-0.0738424862538229,0.118308457056082,-0.0309730751990613,0.459127414462999,0.647141468144104,0.774788638466107,-4.86680988565498,0.0222329854011294,0.647141468144104,0.774788638466107,"Glycerophospholipids","Diacylglycerophosphocholine","PC(16:0/16:0)","HMDB00564","C00157","Glycerophospholipids","ns"
"DAPC04",0.00824749941193991,-0.238507510206521,0.255002509030401,1.25246781126303,0.0663138560755471,0.947260662230474,0.962004018841065,-4.91623962650941,0.00824749941193991,0.947260662230474,0.962004018841065,"Glycerophospholipids","Diacylglycerophosphocholine","PC(32:1)",NA,NA,"Glycerophospholipids","ns"
"DAPC05",0.0262688744953052,-0.209354246164164,0.261891995154774,1.13827535893239,0.22119307673568,0.825394188708823,0.903122246225573,-4.90556246300778,0.0262688744953052,0.825394188708823,0.903122246225573,"Glycerophospholipids","Diacylglycerophosphocholine","PC(14:0/18:2)","HMDB07874","C00157","Glycerophospholipids","ns"
